"TRANSACTION_ID";"DAY";"MONTH";"YEAR";"CREDIT_CARD_NO";"CUST_SSN";"BRANCH_CODE";"TRANSACTION_TYPE";"TRANSACTION_VALUE"
39;5;10;2018;"4210653349028689";123459988;70;"Entertainment";46.84
40;16;1;2018;"4210653349028689";123459988;69;"Entertainment";96.29
41;7;3;2018;"4210653349028689";123459988;26;"Education";25.01
42;20;11;2018;"4210653349028689";123459988;27;"Bills";30.95
43;4;6;2018;"4210653349028689";123459988;79;"Gas";83.33
44;13;11;2018;"4210653349028689";123459988;36;"Healthcare";79.91
45;8;9;2018;"4210653349028689";123459988;124;"Healthcare";20.81
46;21;1;2018;"4210653349028689";123459988;104;"Bills";4.95
47;28;4;2018;"4210653349028689";123459988;50;"Grocery";41.62
48;12;5;2018;"4210653349028689";123459988;20;"Education";3.79
49;26;8;2018;"4210653349028689";123459988;69;"Healthcare";26.34
50;2;1;2018;"4210653349028689";123459988;76;"Entertainment";53.49
51;4;3;2018;"4210653349028689";123459988;93;"Gas";73.45
52;9;12;2018;"4210653349028689";123459988;80;"Entertainment";15.89
53;14;4;2018;"4210653349028689";123459988;43;"Grocery";16.99
54;3;2;2018;"4210653349028689";123459988;59;"Healthcare";31.87
55;21;12;2018;"4210653349028689";123459988;158;"Healthcare";30.58
56;11;1;2018;"4210653349028689";123459988;27;"Grocery";4.19
57;27;11;2018;"4210653349028689";123459988;126;"Bills";1.32
58;9;8;2018;"4210653349028689";123459988;59;"Bills";13.72
59;16;3;2018;"4210653349028689";123459988;156;"Healthcare";45.55
60;24;6;2018;"4210653349028689";123459988;74;"Entertainment";72.17
61;22;9;2018;"4210653349028689";123459988;70;"Gas";84.13
62;20;3;2018;"4210653349028689";123459988;123;"Test";51.91
63;22;12;2018;"4210653349028689";123459988;121;"Education";43.08
64;18;9;2018;"4210653349028689";123459988;60;"Healthcare";89.81
65;25;1;2018;"4210653349028689";123459988;31;"Grocery";56.84
66;11;8;2018;"4210653349028689";123459988;63;"Education";82.11
67;25;10;2018;"4210653349028689";123459988;63;"Gas";35.29
68;15;2;2018;"4210653349028689";123459988;27;"Entertainment";46.53
69;7;6;2018;"4210653349028689";123459988;31;"Test";93.2
70;27;4;2018;"4210653349028689";123459988;139;"Grocery";61.4
71;12;6;2018;"4210653349028689";123459988;9;"Bills";87.58
72;17;7;2018;"4210653349028689";123459988;48;"Education";8.08
73;7;3;2018;"4210653349028689";123459988;145;"Entertainment";92.84
74;27;3;2018;"4210653349028689";123459988;144;"Bills";45.93
75;18;12;2018;"4210653349028689";123459988;42;"Gas";38.07
76;16;3;2018;"4210653349028689";123459988;49;"Gas";51.93
77;28;11;2018;"4210653349028689";123459988;1;"Bills";53.03
78;14;4;2018;"4210653349028689";123459988;73;"Education";31.89
79;13;6;2018;"4210653349028689";123459988;53;"Gas";66.48
80;25;10;2018;"4210653349028689";123459988;43;"Education";92.47
81;15;3;2018;"4210653349028689";123459988;99;"Entertainment";81.4
82;24;2;2018;"4210653349028689";123459988;89;"Healthcare";97.98
83;4;3;2018;"4210653349028689";123459988;17;"Bills";55.4
84;25;9;2018;"4210653349028689";123459988;79;"Bills";70.25
85;11;11;2018;"4210653349028689";123459988;32;"Healthcare";60.9
86;5;11;2018;"4210653349028689";123459988;109;"Bills";7.62
87;6;2;2018;"4210653349028689";123459988;175;"Test";12.43
88;25;8;2018;"4210653349028689";123459988;175;"Test";17.12
89;12;7;2018;"4210653349028689";123459988;118;"Grocery";57.52
90;2;2;2018;"4210653349028689";123459988;11;"Education";91.2
91;1;9;2018;"4210653349028689";123459988;59;"Entertainment";97.64
92;3;8;2018;"4210653349028689";123459988;66;"Education";58.25
93;2;7;2018;"4210653349028689";123459988;99;"Gas";41.06
94;9;7;2018;"4210653349028689";123459988;50;"Bills";72.72
95;8;7;2018;"4210653399308769";123459978;117;"Entertainment";77.17
96;21;10;2018;"4210653399308769";123459978;121;"Gas";49.14
97;13;7;2018;"4210653399308769";123459978;117;"Entertainment";81.6
98;6;12;2018;"4210653399308769";123459978;9;"Entertainment";22.75
99;1;3;2018;"4210653399308769";123459978;59;"Grocery";56.52
100;17;8;2018;"4210653399308769";123459978;117;"Education";24.05
101;20;8;2018;"4210653399308769";123459978;57;"Healthcare";66.05
102;3;9;2018;"4210653399308769";123459978;192;"Education";42.37
103;13;1;2018;"4210653399308769";123459978;11;"Grocery";96.44
104;4;9;2018;"4210653399308769";123459978;75;"Healthcare";74.83
105;5;11;2018;"4210653399308769";123459978;103;"Entertainment";25.97
106;25;8;2018;"4210653399308769";123459978;31;"Education";72.36
107;2;8;2018;"4210653399308769";123459978;25;"Test";98.85
108;7;7;2018;"4210653399308769";123459978;10;"Grocery";4.36
109;13;5;2018;"4210653399308769";123459978;107;"Test";66.6
110;21;3;2018;"4210653399308769";123459978;24;"Education";1.76
111;7;5;2018;"4210653399308769";123459978;57;"Grocery";44.41
112;6;3;2018;"4210653399308769";123459978;44;"Gas";85.53
113;13;11;2018;"4210653399308769";123459978;80;"Healthcare";89.9
114;4;10;2018;"4210653399308769";123459978;81;"Healthcare";53.75
115;13;2;2018;"4210653399308769";123459978;91;"Test";30.87
116;10;2;2018;"4210653399308769";123459978;79;"Healthcare";86.53
117;13;8;2018;"4210653399308769";123459978;81;"Healthcare";72.06
118;16;12;2018;"4210653399308769";123459978;166;"Bills";21.96
119;4;12;2018;"4210653399308769";123459978;19;"Entertainment";49.98
120;27;9;2018;"4210653399308769";123459978;175;"Education";13.91
121;16;11;2018;"4210653399308769";123459978;173;"Test";9.05
122;21;1;2018;"4210653399308769";123459978;100;"Grocery";40.33
123;2;9;2018;"4210653399308769";123459978;17;"Test";14.72
124;14;9;2018;"4210653399308769";123459978;178;"Gas";95.3
125;20;6;2018;"4210653399308769";123459978;63;"Entertainment";22.65
126;11;2;2018;"4210653399308769";123459978;156;"Entertainment";100.28
127;26;10;2018;"4210653399308769";123459978;44;"Gas";54.19
128;7;12;2018;"4210653399308769";123459978;42;"Grocery";100.57
129;1;10;2018;"4210653399308769";123459978;175;"Gas";10.84
130;11;4;2018;"4210653399308769";123459978;58;"Entertainment";3.03
131;23;3;2018;"4210653399308769";123459978;114;"Test";27.58
132;15;9;2018;"4210653399308769";123459978;90;"Bills";37.92
133;5;1;2018;"4210653399308769";123459978;5;"Bills";77.05
134;27;2;2018;"4210653399308769";123459978;51;"Bills";26.17
135;25;9;2018;"4210653399308769";123459978;51;"Education";73.36
136;22;11;2018;"4210653399308769";123459978;18;"Gas";69.05
137;1;7;2018;"4210653399308769";123459978;35;"Test";27.95
138;3;7;2018;"4210653399308769";123459978;46;"Education";87.69
139;25;5;2018;"4210653399308769";123459978;11;"Grocery";74.48
140;8;7;2018;"4210653399308769";123459978;136;"Healthcare";98.23
141;17;3;2018;"4210653399308769";123459978;9;"Education";37.06
142;16;5;2018;"4210653399308769";123459978;131;"Healthcare";92.55
143;20;10;2018;"4210653399308769";123459978;115;"Gas";11.63
144;25;8;2018;"4210653399308769";123459978;72;"Grocery";80.8
145;23;1;2018;"4210653399308769";123459978;178;"Healthcare";83.47
146;14;11;2018;"4210653399308769";123459978;115;"Grocery";60.61
147;18;1;2018;"4210653399308769";123459978;48;"Gas";40.94
148;6;9;2018;"4210653399308769";123459978;76;"Bills";66.69
149;9;3;2018;"4210653399308769";123459978;164;"Entertainment";29.07
150;23;7;2018;"4210653399308769";123459978;72;"Gas";63.66
151;21;1;2018;"4210653399308769";123459978;119;"Test";65.14
152;11;6;2018;"4210653315516879";123459968;78;"Healthcare";63.69
153;14;1;2018;"4210653315516879";123459968;104;"Bills";58.51
154;18;10;2018;"4210653315516879";123459968;36;"Grocery";98.02
155;17;4;2018;"4210653315516879";123459968;139;"Bills";28.39
156;26;6;2018;"4210653315516879";123459968;170;"Test";90.94
157;6;4;2018;"4210653315516879";123459968;111;"Entertainment";70.18
158;8;5;2018;"4210653315516879";123459968;10;"Test";71.32
159;25;4;2018;"4210653315516879";123459968;79;"Test";83.39
160;6;9;2018;"4210653315516879";123459968;28;"Gas";76.76
161;9;9;2018;"4210653315516879";123459968;24;"Test";90.79
162;21;4;2018;"4210653315516879";123459968;11;"Healthcare";3.27
163;17;10;2018;"4210653315516879";123459968;78;"Gas";20.38
164;2;8;2018;"4210653315516879";123459968;119;"Grocery";42.15
165;7;11;2018;"4210653315516879";123459968;49;"Education";30.78
166;9;12;2018;"4210653315516879";123459968;40;"Gas";96.29
167;23;8;2018;"4210653315516879";123459968;99;"Test";30.16
168;16;6;2018;"4210653315516879";123459968;22;"Bills";9.19
169;11;6;2018;"4210653349448599";123459965;125;"Healthcare";59.95
170;11;11;2018;"4210653349448599";123459965;170;"Healthcare";30.82
171;5;6;2018;"4210653349448599";123459965;35;"Gas";73.5
172;11;4;2018;"4210653349448599";123459965;49;"Healthcare";17.32
173;19;6;2018;"4210653349448599";123459965;17;"Bills";13.76
174;9;8;2018;"4210653349448599";123459965;139;"Bills";54.41
175;12;4;2018;"4210653349448599";123459965;156;"Healthcare";46.4
176;14;4;2018;"4210653349448599";123459965;12;"Entertainment";70.89
177;25;5;2018;"4210653349448599";123459965;100;"Gas";65.53
178;7;10;2018;"4210653349448599";123459965;39;"Test";52.83
179;7;1;2018;"4210653349448599";123459965;59;"Test";40.3
180;11;9;2018;"4210653349448599";123459965;175;"Education";25.99
181;10;4;2018;"4210653349448599";123459965;118;"Grocery";44.57
182;4;5;2018;"4210653349448599";123459965;121;"Entertainment";90.23
183;22;5;2018;"4210653349448599";123459965;89;"Test";26.4
184;15;11;2018;"4210653349448599";123459965;173;"Healthcare";48.82
185;4;10;2018;"4210653349448599";123459965;70;"Entertainment";41.02
186;8;2;2018;"4210653349448599";123459965;175;"Grocery";32.04
187;25;11;2018;"4210653349448599";123459965;74;"Gas";81.46
188;13;6;2018;"4210653349448599";123459965;20;"Gas";30.59
189;26;9;2018;"4210653349448599";123459965;43;"Gas";97.35
190;12;6;2018;"4210653349448599";123459965;10;"Healthcare";77.06
191;6;8;2018;"4210653349448599";123459965;15;"Gas";14.85
192;14;9;2018;"4210653349448599";123459965;38;"Education";40.63
193;24;3;2018;"4210653349448599";123459965;24;"Gas";81.31
194;23;4;2018;"4210653349448599";123459965;52;"Bills";57.54
195;16;11;2018;"4210653349448599";123459965;76;"Education";33.48
196;14;8;2018;"4210653349448599";123459965;20;"Healthcare";29.15
197;9;8;2018;"4210653349448599";123459965;107;"Gas";41.36
198;2;8;2018;"4210653349448599";123459965;188;"Test";63.1
199;15;1;2018;"4210653349448599";123459965;100;"Grocery";29.44
200;6;1;2018;"4210653349448599";123459965;158;"Gas";31.62
201;26;6;2018;"4210653349448599";123459965;95;"Bills";12.03
202;14;12;2018;"4210653349448599";123459965;24;"Gas";75.53
203;26;7;2018;"4210653349448599";123459965;93;"Test";27.1
204;14;6;2018;"4210653349448599";123459965;45;"Bills";99.18
205;25;3;2018;"4210653349448599";123459965;72;"Entertainment";13.01
206;20;7;2018;"4210653349448599";123459965;31;"Entertainment";71.06
207;16;4;2018;"4210653349448599";123459965;37;"Grocery";19.86
208;10;12;2018;"4210653349448599";123459965;24;"Bills";15.58
209;1;5;2018;"4210653349448599";123459965;139;"Gas";35.02
210;24;10;2018;"4210653349448599";123459965;19;"Healthcare";41.56
211;3;4;2018;"4210653349448599";123459965;78;"Bills";77.53
212;27;3;2018;"4210653349448599";123459965;66;"Gas";53.82
213;17;4;2018;"4210653349448599";123459965;72;"Entertainment";67.7
214;5;6;2018;"4210653315577947";123459940;160;"Entertainment";6.72
215;7;1;2018;"4210653315577947";123459940;42;"Education";63.57
216;25;4;2018;"4210653315577947";123459940;40;"Healthcare";25.98
217;5;8;2018;"4210653312528499";123459918;5;"Gas";36.3
218;25;3;2018;"4210653312528499";123459918;158;"Bills";21.56
219;16;1;2018;"4210653312528499";123459918;5;"Education";27.89
220;9;10;2018;"4210653312528499";123459918;118;"Healthcare";64.48
221;8;1;2018;"4210653312528499";123459918;74;"Gas";100.76
222;18;2;2018;"4210653312528499";123459918;40;"Education";2.53
223;3;7;2018;"4210653312528499";123459918;149;"Education";10.72
224;8;6;2018;"4210653312528499";123459918;81;"Gas";17.85
225;10;9;2018;"4210653312528499";123459918;19;"Entertainment";36.95
226;28;6;2018;"4210653312528499";123459918;57;"Test";79.42
227;16;9;2018;"4210653312528499";123459918;27;"Education";21.76
228;19;7;2018;"4210653312528499";123459918;49;"Test";15.29
229;10;12;2018;"4210653312528499";123459918;76;"Education";36.66
230;2;10;2018;"4210653312528499";123459918;79;"Healthcare";8.63
231;13;5;2018;"4210653312528499";123459918;2;"Grocery";9.92
232;28;1;2018;"4210653312528499";123459918;135;"Healthcare";71.75
233;28;7;2018;"4210653312528499";123459918;158;"Bills";42.62
234;12;1;2018;"4210653312528499";123459918;131;"Gas";58.16
235;8;2;2018;"4210653312528499";123459918;103;"Gas";69.94
236;17;5;2018;"4210653312528499";123459918;12;"Test";16.68
237;22;12;2018;"4210653312528499";123459918;80;"Test";30.4
238;18;11;2018;"4210653312528499";123459918;45;"Entertainment";80.81
239;26;11;2018;"4210653312528499";123459918;1;"Education";58.78
240;1;8;2018;"4210653312528499";123459918;100;"Education";83.25
241;2;12;2018;"4210653312528499";123459918;192;"Test";97.12
242;15;11;2018;"4210653312528499";123459918;8;"Entertainment";45.27
243;8;12;2018;"4210653312528499";123459918;139;"Test";99.59
244;6;4;2018;"4210653312528499";123459918;79;"Education";73.66
245;21;12;2018;"4210653312528499";123459918;69;"Bills";6.52
246;4;4;2018;"4210653312528499";123459918;1;"Bills";5.49
247;6;6;2018;"4210653312528499";123459918;9;"Healthcare";86.57
248;7;7;2018;"4210653312528499";123459918;36;"Education";82.65
249;24;5;2018;"4210653312528499";123459918;25;"Grocery";56.21
250;24;10;2018;"4210653312528499";123459918;104;"Healthcare";94.14
251;17;2;2018;"4210653312528499";123459918;21;"Education";6.9
252;21;2;2018;"4210653312528499";123459918;54;"Grocery";32.28
253;22;8;2018;"4210653312528499";123459918;14;"Bills";61.93
254;19;9;2018;"4210653312528499";123459918;29;"Bills";17.76
255;15;1;2018;"4210653312528499";123459918;2;"Test";32.44
256;18;10;2018;"4210653312528499";123459918;5;"Bills";95.21
257;7;8;2018;"4210653312528499";123459918;19;"Bills";29.4
258;25;7;2018;"4210653312528499";123459918;166;"Education";83.43
259;14;1;2018;"4210653312528499";123459918;46;"Bills";11.4
260;22;12;2018;"4210653312528499";123459918;24;"Education";33.08
261;16;11;2018;"4210653312528499";123459918;4;"Healthcare";94.41
262;2;6;2018;"4210653312528499";123459918;149;"Entertainment";2.73
263;11;12;2018;"4210653312528499";123459918;27;"Education";71.7
264;24;4;2018;"4210653312528499";123459918;29;"Test";72.88
265;12;6;2018;"4210653312528499";123459918;60;"Healthcare";64.29
266;27;11;2018;"4210653312528499";123459918;149;"Grocery";51.08
267;28;5;2018;"4210653312528499";123459918;11;"Test";48.62
268;14;5;2018;"4210653312528499";123459918;67;"Bills";41.56
269;13;1;2018;"4210653312528499";123459918;53;"Entertainment";3.49
270;28;1;2018;"4210653313003223";123459916;75;"Bills";95.15
271;22;2;2018;"4210653313003223";123459916;67;"Education";35.23
272;21;9;2018;"4210653313003223";123459916;7;"Healthcare";66.16
273;5;6;2018;"4210653313003223";123459916;70;"Grocery";58.38
274;9;11;2018;"4210653313003223";123459916;57;"Healthcare";24.28
275;16;5;2018;"4210653313003223";123459916;89;"Bills";74.43
276;11;11;2018;"4210653313003223";123459916;69;"Test";30.12
277;17;2;2018;"4210653313003223";123459916;46;"Healthcare";78.38
278;3;1;2018;"4210653313003223";123459916;52;"Entertainment";72.42
279;10;3;2018;"4210653313003223";123459916;47;"Healthcare";53.0
280;6;8;2018;"4210653313003223";123459916;107;"Bills";63.95
281;3;11;2018;"4210653313003223";123459916;17;"Grocery";36.3
282;4;12;2018;"4210653313003223";123459916;125;"Grocery";67.6
283;19;10;2018;"4210653313003223";123459916;74;"Grocery";17.48
284;21;5;2018;"4210653313003223";123459916;49;"Entertainment";83.26
285;22;2;2018;"4210653313003223";123459916;105;"Gas";94.26
286;19;5;2018;"4210653313003223";123459916;28;"Test";26.24
287;21;4;2018;"4210653313003223";123459916;70;"Gas";25.03
288;6;7;2018;"4210653313003223";123459916;103;"Entertainment";85.51
289;14;1;2018;"4210653313003223";123459916;156;"Education";46.37
290;22;2;2018;"4210653313003223";123459916;74;"Entertainment";85.55
291;21;8;2018;"4210653313003223";123459916;36;"Bills";67.3
292;2;6;2018;"4210653313003223";123459916;58;"Entertainment";68.89
293;17;9;2018;"4210653313003223";123459916;37;"Test";78.8
294;27;9;2018;"4210653313003223";123459916;56;"Healthcare";66.15
295;16;8;2018;"4210653313003223";123459916;109;"Education";1.62
296;24;6;2018;"4210653313003223";123459916;123;"Healthcare";1.79
297;20;3;2018;"4210653313003223";123459916;2;"Gas";33.13
298;20;2;2018;"4210653313003223";123459916;5;"Bills";81.87
299;8;8;2018;"4210653313003223";123459916;125;"Healthcare";96.17
300;15;9;2018;"4210653313003223";123459916;103;"Gas";5.42
301;21;5;2018;"4210653313003223";123459916;38;"Grocery";7.66
302;22;3;2018;"4210653313003223";123459916;11;"Entertainment";63.16
303;26;11;2018;"4210653313003223";123459916;135;"Entertainment";15.77
304;21;6;2018;"4210653313003223";123459916;35;"Grocery";17.72
305;9;10;2018;"4210653313003223";123459916;149;"Education";52.03
306;1;7;2018;"4210653313003223";123459916;46;"Test";67.38
307;15;2;2018;"4210653313003223";123459916;149;"Bills";23.12
308;17;4;2018;"4210653313003223";123459916;104;"Bills";22.15
309;16;7;2018;"4210653313003223";123459916;168;"Bills";72.53
310;2;6;2018;"4210653313003223";123459916;139;"Gas";13.61
311;26;1;2018;"4210653313003223";123459916;52;"Healthcare";99.43
312;25;10;2018;"4210653313003223";123459916;59;"Test";2.62
313;7;7;2018;"4210653313003223";123459916;79;"Test";41.68
314;2;2;2018;"4210653313003223";123459916;35;"Entertainment";53.16
315;24;9;2018;"4210653313003223";123459916;175;"Grocery";96.89
316;13;2;2018;"4210653313003223";123459916;139;"Education";95.49
317;8;11;2018;"4210653313003223";123459916;24;"Grocery";57.79
318;18;11;2018;"4210653313003223";123459916;145;"Education";87.12
319;4;1;2018;"4210653313003223";123459916;145;"Entertainment";30.9
320;16;6;2018;"4210653313003223";123459916;136;"Grocery";50.91
321;27;12;2018;"4210653313003223";123459916;85;"Test";9.69
322;28;2;2018;"4210653313003223";123459916;39;"Entertainment";57.53
323;8;8;2018;"4210653313003223";123459916;93;"Entertainment";57.17
324;10;5;2018;"4210653313003223";123459916;58;"Grocery";43.09
325;5;3;2018;"4210653313003223";123459916;117;"Test";20.26
326;6;9;2018;"4210653313003223";123459916;15;"Education";91.25
327;28;7;2018;"4210653313003223";123459916;117;"Education";55.72
328;24;10;2018;"4210653313003223";123459916;46;"Grocery";18.67
329;9;1;2018;"4210653313003223";123459916;105;"Test";92.24
330;18;10;2018;"4210653313003223";123459916;156;"Gas";17.37
331;6;2;2018;"4210653313003223";123459916;26;"Test";25.26
332;10;1;2018;"4210653313003223";123459916;3;"Bills";3.99
333;10;9;2018;"4210653313003223";123459916;90;"Healthcare";18.68
334;10;3;2018;"4210653313003223";123459916;38;"Gas";19.07
335;17;7;2018;"4210653313003223";123459916;58;"Education";94.89
336;1;2;2018;"4210653313003223";123459916;93;"Gas";87.27
337;7;9;2018;"4210653313003223";123459916;99;"Healthcare";1.95
338;2;12;2018;"4210653392204248";123459915;18;"Bills";88.96
339;20;10;2018;"4210653392204248";123459915;145;"Bills";3.37
340;14;8;2018;"4210653392204248";123459915;95;"Bills";32.47
341;18;4;2018;"4210653392204248";123459915;37;"Education";92.76
342;16;5;2018;"4210653392204248";123459915;5;"Entertainment";96.47
343;8;7;2018;"4210653392204248";123459915;79;"Gas";65.09
344;21;4;2018;"4210653392204248";123459915;58;"Bills";36.8
345;28;2;2018;"4210653392204248";123459915;178;"Entertainment";81.6
346;14;3;2018;"4210653392204248";123459915;118;"Healthcare";28.96
347;4;10;2018;"4210653392204248";123459915;40;"Bills";27.26
348;24;5;2018;"4210653392204248";123459915;99;"Healthcare";54.85
349;9;5;2018;"4210653392204248";123459915;144;"Gas";85.88
350;11;11;2018;"4210653392204248";123459915;117;"Entertainment";45.23
351;19;8;2018;"4210653392204248";123459915;123;"Gas";17.12
352;17;7;2018;"4210653392204248";123459915;100;"Bills";9.81
353;21;1;2018;"4210653392204248";123459915;67;"Gas";19.19
354;8;3;2018;"4210653392204248";123459915;90;"Bills";72.25
355;22;5;2018;"4210653392204248";123459915;121;"Test";74.71
356;1;9;2018;"4210653392204248";123459915;115;"Education";11.98
357;25;6;2018;"4210653392204248";123459915;59;"Entertainment";40.7
358;2;9;2018;"4210653392204248";123459915;178;"Bills";43.11
359;7;8;2018;"4210653392204248";123459915;24;"Test";48.36
360;4;8;2018;"4210653392204248";123459915;164;"Healthcare";60.58
361;8;3;2018;"4210653392204248";123459915;131;"Education";83.22
362;28;1;2018;"4210653392204248";123459915;149;"Bills";98.61
363;11;2;2018;"4210653392204248";123459915;109;"Healthcare";18.81
364;27;11;2018;"4210653392204248";123459915;149;"Grocery";43.0
365;12;9;2018;"4210653392204248";123459915;145;"Education";32.72
366;23;10;2018;"4210653392204248";123459915;46;"Entertainment";97.18
367;15;2;2018;"4210653392204248";123459915;66;"Education";48.04
368;18;4;2018;"4210653392204248";123459915;99;"Test";31.34
369;18;5;2018;"4210653392204248";123459915;67;"Test";27.88
370;1;3;2018;"4210653392204248";123459915;81;"Bills";58.93
371;19;1;2018;"4210653392204248";123459915;16;"Bills";27.73
372;14;1;2018;"4210653392204248";123459915;81;"Gas";39.21
373;18;2;2018;"4210653392204248";123459915;35;"Education";26.48
374;10;3;2018;"4210653392204248";123459915;139;"Bills";19.88
375;9;12;2018;"4210653392204248";123459915;47;"Bills";65.03
376;8;4;2018;"4210653392204248";123459915;27;"Grocery";2.99
377;25;3;2018;"4210653392204248";123459915;28;"Education";39.69
378;18;1;2018;"4210653392204248";123459915;1;"Test";42.26
379;9;12;2018;"4210653392204248";123459915;60;"Gas";86.83
380;11;4;2018;"4210653392204248";123459915;144;"Bills";3.08
381;7;3;2018;"4210653392204248";123459915;69;"Grocery";51.01
382;20;6;2018;"4210653392204248";123459915;25;"Bills";86.34
383;16;2;2018;"4210653392204248";123459915;145;"Grocery";10.43
384;27;3;2018;"4210653392204248";123459915;12;"Entertainment";25.48
385;28;1;2018;"4210653392204248";123459915;85;"Gas";94.33
386;6;3;2018;"4210653392204248";123459915;57;"Bills";82.92
387;8;6;2018;"4210653392204248";123459915;43;"Education";40.42
388;1;12;2018;"4210653392204248";123459915;12;"Healthcare";71.24
389;3;3;2018;"4210653313825914";123459909;75;"Healthcare";43.5
390;4;3;2018;"4210653313825914";123459909;83;"Test";36.2
391;5;10;2018;"4210653313825914";123459909;1;"Gas";6.65
392;10;10;2018;"4210653313825914";123459909;180;"Gas";44.27
393;19;11;2018;"4210653313825914";123459909;90;"Entertainment";14.34
394;3;2;2018;"4210653313825914";123459909;19;"Bills";71.29
395;21;9;2018;"4210653313825914";123459909;2;"Grocery";52.28
396;14;6;2018;"4210653313825914";123459909;57;"Entertainment";78.44
397;23;9;2018;"4210653313825914";123459909;60;"Bills";29.61
398;4;12;2018;"4210653313825914";123459909;188;"Bills";51.6
399;4;3;2018;"4210653313825914";123459909;17;"Bills";3.6
400;21;4;2018;"4210653313825914";123459909;31;"Education";50.32
401;7;4;2018;"4210653313825914";123459909;57;"Gas";79.4
402;23;6;2018;"4210653313825914";123459909;17;"Entertainment";45.47
403;26;2;2018;"4210653313825914";123459909;93;"Education";99.6
404;23;11;2018;"4210653313825914";123459909;166;"Grocery";67.98
405;13;12;2018;"4210653313825914";123459909;70;"Healthcare";38.13
406;5;5;2018;"4210653313825914";123459909;23;"Test";96.88
407;22;9;2018;"4210653313825914";123459909;175;"Healthcare";83.56
408;12;12;2018;"4210653313825914";123459909;125;"Healthcare";70.63
409;1;2;2018;"4210653313825914";123459909;4;"Bills";7.18
410;7;11;2018;"4210653313825914";123459909;7;"Bills";74.71
411;20;2;2018;"4210653313825914";123459909;80;"Grocery";87.59
412;23;2;2018;"4210653313825914";123459909;126;"Education";21.04
413;6;3;2018;"4210653313825914";123459909;44;"Entertainment";15.39
414;28;6;2018;"4210653313825914";123459909;72;"Grocery";99.23
415;14;4;2018;"4210653313825914";123459909;79;"Education";39.94
416;27;6;2018;"4210653313825914";123459909;48;"Grocery";35.42
417;26;9;2018;"4210653313825914";123459909;105;"Education";44.62
418;21;10;2018;"4210653313825914";123459909;8;"Bills";71.9
419;10;11;2018;"4210653313825914";123459909;32;"Entertainment";37.44
420;4;3;2018;"4210653313825914";123459909;80;"Grocery";38.11
421;19;7;2018;"4210653313825914";123459909;158;"Bills";96.09
422;6;12;2018;"4210653313825914";123459909;73;"Gas";64.97
423;9;12;2018;"4210653313825914";123459909;16;"Education";62.51
424;13;7;2018;"4210653313825914";123459909;173;"Grocery";68.89
425;4;9;2018;"4210653313825914";123459909;46;"Grocery";62.71
426;20;6;2018;"4210653313825914";123459909;56;"Test";37.56
